number,value,sqrtPriceX96,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,tickLowerFeeGrowthOutside0X128,tickLowerFeeGrowthOutside1X128,tickUpperFeeGrowthOutside0X128,tickUpperFeeGrowthOutside1X128
16219693,50265535924,2302457180693885351454651093163492,31203981017892687890,2181620581902003936411883992456929,1026699780925062056301321001565722942741084,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16222093,47870311980,2318747899162385489001287554456344,17540821031132433136,2181985157052788187585985499073660,1027046583748145707407639599439896464086763,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16224493,53596872683,2280425969616657314568929983238151,30523448134936311091,2182406749771601875934982373447527,1027317711286579945199071017760952647928490,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16226893,55805093856,2266012770497242894086255374140612,20905059435363221456,2182715686150892854181613442855243,1027541268492241619844457934521929909830784,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16229293,55133997068,2270435262486917424056195007509857,22227312718227892744,2182943499819872818882169549269372,1027738088574684734465475778290005927962009,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16231693,54333608949,2275703596294866001551435142483199,22737464002634911280,2183065251251198923921514215795779,1027849987718588721288910282834966288550159,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16234093,54763740868,2272920569657780836424575412085603,46555465465107464655,2183267191192711091143230870573939,1028010232564246331742465106811346190008654,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16236493,54338049545,2275732877226366029629403759490668,29001499457139979699,2183369517946358519595843104613451,1028099858221584071205440357113084946732029,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16238893,54491186138,2274740167921692629443616837354464,31485966568595190915,2183435770044943225007152139634739,1028152337391103935831083213707735221506276,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16241293,50595903261,2300631716006577619818717260285935,22618611010766339865,2183626066643574305872624282408703,1028366135393823396200897558729315894880961,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16243693,55103637080,2270824349001401756389526076262986,22381477162560579800,2183939965796505454835889521331865,1028562139954972334987427352026940913246314,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16246093,55813460594,2266216588496224172254804411624938,22728336445874518659,2184071805819877941021375063327361,1028660157175870081224028336144565927779387,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16248493,55279236565,2269782469176920445513960727061014,24520173141659983885,2184494611788140767301365371922731,1029012477473488332647613239790931422352185,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16250893,55505382391,2268318100384631286503934121351000,24021694853194625550,2184559263873426386784046276360862,1029062359171737575891830113406204068903210,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16253293,55511142581,2268286731158999893110011846751513,25077936307355277000,2184591853536041887866134837387376,1029089056415049549841424095120802400250974,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16255693,55269317086,2269869087596540109532934287558589,29040769306209328916,2184608690270727064184641994544966,1029106273358210931859729188393774964221594,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16258093,55620607120,2267587315813470219639532896775164,52934674799180299526,2184668792871806407698302801207641,1029150556214025984227733343164187893285505,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16260493,55479986005,2268526464772877677599875107247126,33919981157358144666,2184782559854102670656604383249535,1029246194931580555531661313323806387162158,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16262893,54284729829,2276380951899290357379858535471998,49644562439988786256,2184919050067728426446156795514439,1029375896095646843902986329258884743891029,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16265293,55127329849,2270884431433260243759806907927190,26634674985542752592,2185064210672556933699567706035662,1029483885492429931814336709810509721543337,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16267693,55377848658,2269257000224747449767003218337749,40454737982949317533,2185116055117756376728453349939139,1029522878800390801662519427537219012409825,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16270093,54978249478,2271879006926403194390768592727484,27835644005111215114,2185163968621239703633104609626768,1029567868207013356917879692141766935390770,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16272493,56511556026,2261906885359996220194928071595333,29663399384497135108,2185275084927974608705752291413103,1029637371168613714066232513756297486639366,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16274893,55416035697,2269046418772473712656074338185071,30471760488793203094,2185319205242322962239106233698814,1029688792305729503679155523946433842588600,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16277293,54359116899,2276024844412917884940926155388337,30145442851259332519,2185609566391265181882051750603396,1029943402315385314572968641726860203490532,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16279693,54084409252,2277864199504929741569984152946834,30318983097693550206,2185781332556535506787555101866711,1030089509703901444040088708606953697919504,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16282093,51959116226,2291976734764730524647172976596684,44527166884556337562,2185987125048417094131997345335928,1030291997945510253924596438562495654682064,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16284493,51644977076,2294114796687310314301475091637603,28481803172235453393,2186208328189786161806190823770175,1030481573922078707664583359257287880025585,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16286893,51386051218,2295881444796256987966137647897260,29388705238004048072,2186397670089474171426180823523975,1030644330009214203719849689798992904236076,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16289293,51476307846,2295291141347609522084232124270962,30354505090207648262,2186463827243984030081956569433420,1030698555782247646309685912992037294766175,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16291693,52842566123,2286229801941009335625930386336055,32016602782266760500,2186626846767906978899314748077086,1030812788242633652746459149840103992476135,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16294093,52830790331,2286334150877394754501952976104435,33278324098993428204,2186762400039572340082748234154326,1030925953170323441127017006049375889182762,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16296493,51305678877,2296500928057908692686916531695235,25828375606727121241,2186817102649741491078705040701727,1030993645988027512120537690367160735293844,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16298893,51843954347,2292928885102108861005253506423459,43372356658723235500,2186933918824591557745529711065820,1031084075484017965589450247990409849533179,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16301293,52382569963,2289356359225518373773655147672726,42378188684941587599,2187002811074626564543566610815012,1031133948549555652890599133319994621852775,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16303693,52123713775,2291083599628672870449027371380194,42924927665178825051,2187029750763260560969962345055197,1031160200443570347244632878969067420428843,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16306093,53060538412,2284879030281614464207204238742434,32732084478922653996,2187108639817300276736795305472622,1031212583544544117804115187185447041225475,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16308493,51829130485,2293077548305357384347525269683844,32827833995623133669,2187189321949816568883119531721181,1031297585568883404210625217783755167587058,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16310893,51886607107,2292703725085343384815392822002991,34870475237079230830,2187237644037946047443898054320928,1031337270973531915058836425950868210888400,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16313293,52319808268,2289828705402217339385757988142539,32041391121869838731,2187285989764684910921931606375411,1031371278192608180835835384268112142612282,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16315693,52189567215,2290708496195966610536749903451587,41613998803762160219,2187354586661476291464031810205813,1031430274386397115463453593678170074028032,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16318093,55224511542,2270724038015581554839051795576336,34074887299631720643,2187548575527364504250514359499300,1031538018275113620377833634040315016991433,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16320493,55184523409,2270998665750238839289948174036779,55631433194615930602,2187617016449420495427776540055757,1031593274075602478928993784958958967622269,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16322893,54820849093,2273391323993903897393796352854416,41565434968958756401,2187676051319929098317175394373184,1031646926852807588679257100906762756059773,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
